datetime,open,high,low,close,volume
2024-09-02,33.4,33.83,32.5,32.56,160337.24
2024-09-03,32.36,33.66,32.25,33.34,177461.63
2024-09-04,33.09,34.22,33.05,33.56,224446.75
2024-09-05,33.42,34.37,33.4,33.55,148131.12
2024-09-06,33.55,33.65,32.78,32.86,116019.14
2024-09-09,32.53,33.1,32.16,32.55,115473.77
2024-09-10,32.51,32.61,31.99,32.36,102354.2
2024-09-11,32.4,33.77,32.23,33.66,291584.61
2024-09-12,33.65,34.75,33.5,33.84,270366.04
2024-09-13,33.6,34.12,32.8,32.8,157070.87
2024-09-18,32.81,32.95,31.99,32.48,137647.46
2024-09-19,32.72,33.33,32.03,32.34,211276.92
2024-09-20,32.24,32.24,30.73,31.65,261688.95
2024-09-23,31.57,31.95,31.3,31.33,128795.38
2024-09-24,31.65,33.85,31.45,33.8,401399.41
2024-09-25,34.4,34.76,33.41,33.41,344683.44
2024-09-26,33.28,34.99,33.04,34.94,322806.16
2024-09-27,35.6,41.89,35.59,40.65,792224.11
2024-09-30,44.41,48.78,43.58,48.78,1017537.0
2024-10-08,58.54,58.54,53.23,58.54,1390038.43
2024-10-09,55.65,56.24,49.3,49.4,1185530.68
2024-10-10,49.9,52.39,49.0,49.95,680443.96
2024-10-11,48.73,48.8,45.13,46.13,612147.84
2024-10-14,46.56,47.23,45.0,46.7,516854.11
2024-10-15,46.55,46.55,44.47,44.57,473331.06
2024-10-16,43.55,44.5,42.39,42.87,442389.34
2024-10-17,43.47,43.85,42.25,42.28,334077.21
2024-10-18,42.1,47.65,41.89,45.52,809313.11
2024-10-21,46.0,47.09,45.0,45.84,658670.82
2024-10-22,45.39,46.29,44.7,46.19,457820.96
2024-10-23,46.3,48.5,45.2,47.33,733412.56
2024-10-24,46.84,47.08,44.83,44.94,488761.85
2024-10-25,45.9,51.59,45.9,49.44,1115158.16
2024-10-28,50.0,50.0,47.78,49.44,548941.12
2024-10-29,49.55,50.67,47.82,48.06,465339.93
2024-10-30,47.33,48.53,46.9,47.4,339497.47
