datetime,open,high,low,close,volume
2024-09-02,27.19,27.58,26.1,26.1,222977.72
2024-09-03,26.1,27.27,25.72,26.6,251319.45
2024-09-04,26.48,26.97,26.31,26.35,178096.47
2024-09-05,26.35,27.36,26.28,26.7,200814.57
2024-09-06,26.62,26.78,26.19,26.22,111649.6
2024-09-09,26.01,26.41,25.51,25.7,173038.53
2024-09-10,25.87,25.89,24.9,25.31,193840.02
2024-09-11,25.99,27.84,25.67,27.84,741376.51
2024-09-12,27.76,28.18,27.0,27.06,502731.55
2024-09-13,26.92,27.3,25.52,25.58,427549.55
2024-09-18,25.5,25.69,24.99,25.4,214723.22
2024-09-19,25.53,26.08,25.07,25.76,233518.59
2024-09-20,25.72,25.72,25.25,25.49,154799.38
2024-09-23,25.46,25.85,25.26,25.58,134212.34
2024-09-24,25.9,27.55,25.72,27.51,551894.79
2024-09-25,27.8,28.35,27.45,27.51,465520.26
2024-09-26,27.36,28.54,27.25,28.53,355618.7
2024-09-27,29.26,31.38,29.23,31.34,753939.18
2024-09-30,33.42,34.47,32.38,34.47,970729.93
2024-10-08,37.92,37.92,35.26,37.92,1029146.64
2024-10-09,37.0,37.81,34.13,34.13,820356.7
2024-10-10,34.0,34.91,33.36,33.54,491287.59
2024-10-11,33.13,33.3,31.15,31.6,406955.83
2024-10-14,31.61,32.09,30.82,31.96,339180.66
2024-10-15,31.8,31.93,30.82,30.85,279839.31
2024-10-16,30.1,30.79,30.07,30.29,240819.13
2024-10-17,30.9,30.97,29.89,29.96,234246.19
2024-10-18,29.8,31.69,29.67,30.96,478303.78
2024-10-21,31.14,32.22,30.94,31.62,467736.24
2024-10-22,31.67,32.49,31.26,32.47,346577.68
2024-10-23,32.5,33.66,31.8,33.15,551238.96
2024-10-24,32.88,33.0,31.82,31.97,316291.66
2024-10-25,32.02,34.49,32.02,33.9,658724.93
2024-10-28,33.9,34.3,33.33,34.26,412190.77
2024-10-29,34.48,35.1,33.25,33.31,361974.5
2024-10-30,32.94,33.23,32.31,32.53,280325.15
2024-10-31,32.9,34.06,32.82,33.98,467439.49
2024-11-01,33.69,35.48,33.35,34.12,611702.6
2024-11-04,34.15,34.68,33.51,34.61,361413.85
2024-11-05,34.55,36.2,34.36,36.07,568086.97
2024-11-06,36.1,37.88,35.66,36.05,713964.65
2024-11-07,35.47,36.14,35.27,36.13,425855.61
2024-11-08,36.85,37.89,35.9,36.0,498729.88
2024-11-11,36.0,39.6,35.91,39.6,1003022.03
2024-11-12,40.5,43.56,40.39,41.95,1523302.81
2024-11-13,43.21,44.74,41.18,44.48,1366016.15
2024-11-14,43.88,45.3,41.41,41.61,1074430.94
2024-11-15,41.0,41.15,38.79,38.93,764482.9
2024-11-18,38.87,39.55,37.45,37.83,527233.92
2024-11-19,38.45,41.61,37.99,41.61,560949.64
2024-11-20,43.0,44.65,42.58,43.36,1309764.51
2024-11-21,42.78,43.6,42.11,42.79,732057.36
2024-11-22,42.12,43.88,41.0,41.08,739076.14
2024-11-25,41.08,43.0,41.08,42.67,754829.22
2024-11-26,42.35,42.35,40.05,40.05,598999.67
2024-11-27,39.54,41.19,39.04,41.14,475294.04
2024-11-28,40.7,41.84,40.51,40.99,403528.43
2024-11-29,40.82,42.99,40.65,42.05,522863.93
2024-12-02,41.9,42.7,41.64,42.07,367593.17
2024-12-03,42.31,42.6,41.07,41.41,305183.99
2024-12-04,41.21,41.69,39.88,40.09,355207.45
2024-12-05,39.7,40.09,39.39,39.87,280098.61
2024-12-06,39.8,40.96,38.91,40.29,365865.33
2024-12-09,40.0,40.19,39.15,39.53,234304.16
2024-12-10,40.98,41.21,38.78,38.95,403899.51
2024-12-11,38.68,39.17,38.6,38.84,198892.33
2024-12-12,38.62,40.0,38.45,39.62,304971.97
2024-12-13,39.2,39.26,38.18,38.22,275737.45
