datetime,open,high,low,close,volume
2024-09-02,52.47,52.85,48.36,48.36,98538.85
2024-09-03,48.09,49.3,47.92,48.61,75624.0
2024-09-04,47.39,48.4,46.8,47.62,58423.72
2024-09-05,47.88,48.8,46.96,47.74,60584.43
2024-09-06,47.85,48.01,46.62,46.62,50114.16
2024-09-09,46.5,47.0,45.75,46.72,51828.0
2024-09-10,46.6,47.08,45.7,46.62,48302.06
2024-09-11,46.59,48.36,46.33,47.05,65862.0
2024-09-12,48.2,48.3,45.3,45.32,84362.19
2024-09-13,45.32,46.97,45.32,45.4,79300.65
2024-09-18,45.33,45.84,44.22,45.21,48738.0
2024-09-19,45.21,45.85,44.31,44.67,64471.26
2024-09-20,44.95,46.5,44.86,45.37,73411.47
2024-09-23,45.4,47.25,44.92,45.45,85640.5
2024-09-24,45.65,48.78,44.47,48.67,141626.62
2024-09-25,49.59,51.33,48.32,48.36,159896.16
2024-09-26,48.58,51.63,47.65,51.58,165083.22
2024-09-27,51.97,59.3,51.65,57.68,199589.76
2024-09-30,60.8,69.14,59.98,68.95,204831.2
2024-10-08,80.72,82.74,71.6,82.74,262203.64
2024-10-09,77.66,81.8,71.03,73.6,235028.37
2024-10-10,75.9,78.55,71.7,73.9,146429.52
2024-10-11,72.57,73.9,67.0,71.7,154746.34
2024-10-14,72.68,80.85,72.39,79.42,185701.81
2024-10-15,78.13,80.5,75.11,75.3,140330.21
2024-10-16,72.99,75.46,72.79,74.01,89430.73
2024-10-17,75.0,78.58,73.67,76.09,128840.47
2024-10-18,75.8,85.66,75.54,81.9,196686.63
2024-10-21,83.5,95.0,82.2,87.43,202166.6
2024-10-22,85.73,91.19,85.0,87.27,144433.28
2024-10-23,86.4,89.35,84.1,84.88,115365.94
2024-10-24,83.03,85.8,81.5,83.99,100377.67
2024-10-25,87.0,87.57,78.42,78.73,218057.19
2024-10-28,77.8,78.66,74.87,77.9,155640.08
2024-10-29,77.14,77.4,74.01,74.55,159780.5
2024-10-30,74.9,75.98,72.17,73.35,127947.87
2024-10-31,73.21,75.65,72.0,73.3,141743.49
2024-11-01,72.81,73.26,69.6,70.36,125480.97
2024-11-04,70.37,75.28,70.3,75.28,162122.43
2024-11-05,75.29,81.55,74.71,81.12,201006.99
2024-11-06,81.0,86.23,79.24,83.96,201774.07
2024-11-07,82.99,91.93,82.53,91.78,194281.07
2024-11-08,92.0,97.48,89.87,91.5,179280.81
2024-11-11,90.01,94.03,88.7,92.36,138689.63
2024-11-12,93.74,94.24,89.75,91.5,130081.9
2024-11-13,90.11,93.93,89.68,91.37,118159.58
2024-11-14,90.01,92.66,85.54,85.8,154397.55
2024-11-15,85.48,88.2,83.01,83.32,116257.99
2024-11-18,83.5,86.85,79.7,83.41,125431.0
2024-11-19,84.24,87.77,83.29,87.26,111986.0
2024-11-20,86.94,88.49,85.99,87.93,104213.01
2024-11-21,87.65,90.49,86.81,88.36,90313.35
2024-11-22,90.4,92.18,84.77,85.25,120670.13
2024-11-25,86.06,86.94,80.93,82.67,99165.96
2024-11-26,82.41,83.52,80.41,81.61,78774.0
2024-11-27,81.13,82.65,78.82,82.0,83678.2
2024-11-28,82.02,89.66,80.01,88.14,147990.66
2024-11-29,88.5,92.8,87.55,91.13,138241.39
2024-12-02,90.99,92.58,88.88,89.46,121506.23
2024-12-03,89.47,90.88,87.86,88.84,76732.29
2024-12-04,88.8,90.77,87.72,88.9,70548.74
2024-12-05,88.18,91.4,87.61,90.02,76185.04
2024-12-06,90.04,107.6,87.29,103.99,214842.86
2024-12-09,104.1,106.0,101.23,105.75,141233.21
2024-12-10,108.53,108.6,98.69,99.6,168319.81
2024-12-11,97.98,103.5,96.88,101.77,118215.88
2024-12-12,101.8,111.8,101.1,107.7,143619.27
2024-12-13,107.0,108.51,102.88,103.16,120695.99
2024-12-16,102.8,105.8,100.0,103.04,93081.16
